"Name";"Interests-value";"Professional Experiences-value";"Studies-value"
"CV 288";"[{""desc"":null,""title"":""Arctic Exploration""},{""desc"":null,""title"":""Renewable Energy Policy Advocacy""},{""desc"":null,""title"":""Marathon Running""}]";"[{""dates"":""June 2024 - Present"",""company"":""Northvolt"",""job title"":""Sustainability Operations Intern"",""description"":""Conducting a Life Cycle Assessment (LCA) for the \""Revolt\"" recycling program; identified 20% potential reduction in Scope 3 emissions by optimizing electrolyte recovery."",""country or city"":""Stockholm""},{""dates"":""2023"",""company"":""BMW Group"",""job title"":""Supply Chain Intern"",""description"":""Analyzed the ethical sourcing of cobalt in the DRC using blockchain-based tracking tools."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Energy Systems and Circular Economy"",""university"":""KTH Royal Institute of Technology"",""country or city"":""not found"",""level_of_degree"":""BSc in Industrial Engineering""}]"
"CV 287";"[{""desc"":""(National level)"",""title"":""Competitive Fencing""},{""desc"":""(Personal portfolio +15% YoY)"",""title"":""Algorithmic Trading""},{""desc"":null,""title"":""Classical Cello""}]";"[{""dates"":""July 2024 - Present"",""company"":""Citadel Securities"",""job title"":""Quant Research Intern"",""description"":""Developing mid-frequency arbitrage strategies using C++ and Python.\n\nBack-tested signals on 10 years of historical tick data, identifying a 3% alpha improvement for the European ETF desk."",""country or city"":""London""},{""dates"":""2023"",""company"":""BMO Capital Markets"",""job title"":""Risk Management Intern"",""description"":""Built a Value-at-Risk (VaR) dashboard using VBA and SQL that automated daily reporting for the Fixed Income desk, saving 10 man-hours per week."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Toronto"",""country or city"":""not found"",""level_of_degree"":""BSc in Mathematical Physics""}]"
"CV 286";"[{""desc"":""(Instructor)"",""title"":""Alpine Skiing""},{""desc"":null,""title"":""Investment Club President""},{""desc"":null,""title"":""Watchmaking""}]";"[{""dates"":""July 2024 - Present"",""company"":""Partners Group"",""job title"":""Private Equity Intern"",""description"":""Supporting the direct investment team in the Healthcare sector; performed commercial due diligence on 3 target companies."",""country or city"":""Zug""},{""dates"":""2023"",""company"":""Credit Suisse (IBCM)"",""job title"":""Intern"",""description"":""Worked on a $1.5B IPO in the Swiss tech sector; managed the data room and investor presentation materials."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of St. Gallen (HSG)"",""country or city"":""not found"",""level_of_degree"":""BA in Banking & Finance""}]"
"CV 285";"[{""desc"":null,""title"":""Carnatic Music (Vocalist)""},{""desc"":null,""title"":""Chess""},{""desc"":null,""title"":""Astro-photography""}]";"[{""dates"":""May 2024 - Aug 2024"",""company"":""Goldman Sachs, Bangalore"",""job title"":""Quant Intern"",""description"":""Developed a pricing engine for path-dependent options using Monte Carlo simulations. Implemented a variance reduction technique that sped up computation by 20%."",""country or city"":""not found""},{""dates"":""2023"",""company"":""TIFR"",""job title"":""Summer Research Intern"",""description"":""Worked on quantum computing algorithms for optimization problems."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2024"",""field"":""not found"",""university"":""IIT Delhi"",""country or city"":""not found"",""level_of_degree"":""B.Tech in Engineering Physics""}]"
"CV 284";"[{""desc"":null,""title"":""Deep-sea Diving""},{""desc"":null,""title"":""Sustainable Innovation Blogging""},{""desc"":null,""title"":""Ice Hockey""}]";"[{""dates"":""July 2023 - July 2024"",""company"":""Aker Solutions"",""job title"":""Engineering Intern"",""description"":""Supported the design of a carbon capture and storage (CCS) module; optimized flow simulations in CFD (Computational Fluid Dynamics)."",""country or city"":""Stavanger""},{""dates"":""2022"",""company"":""Equinor"",""job title"":""Operations Intern"",""description"":""Analyzed maintenance schedules for offshore wind turbines, increasing uptime by 4.5% through predictive scheduling."",""country or city"":""not found""}]";"[{""dates"":""2019 - 2023"",""field"":""Fluid Dynamics and Energy Storage"",""university"":""NTNU Trondheim"",""country or city"":""not found"",""level_of_degree"":""BEng in Mechanical Engineering""}]"
"CV 283";"[{""desc"":null,""title"":""Competitive Gaming (League of Legends)""},{""desc"":null,""title"":""Violin""},{""desc"":null,""title"":""Urban Planning""}]";"[{""dates"":""June 2024 - Dec 2024"",""company"":""Grab, Singapore"",""job title"":""Data Science Intern"",""description"":""Built a demand-forecasting model using XGBoost that improved driver allocation efficiency by 14% during peak hours."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Shopee"",""job title"":""Software Intern"",""description"":""Automated ETL pipelines for the marketing team using Airflow and SQL, reducing data latency by 30%."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""National University of Singapore (NUS)"",""country or city"":""not found"",""level_of_degree"":""BSc in Statistics & Data Science""}]"
"CV 282";"[{""desc"":null,""title"":""Historical Fencing""},{""desc"":null,""title"":""Political Philosophy""},{""desc"":""(3h15)"",""title"":""Marathon Running""}]";"[{""dates"":""July 2024 - Present"",""company"":""Roland Berger"",""job title"":""Strategy Intern"",""description"":""Assisting in a restructuring plan for a major aerospace company; identified €12M in overhead cost reductions. Developed a market-entry model for hydrogen-powered regional jets."",""country or city"":""Paris""},{""dates"":""2023"",""company"":""Lazard"",""job title"":""Summer Analyst - Lazard (M&A)"",""description"":""Prepared valuation materials (DCF, LBO) for a €400M deal in the Renewables sector."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Philosophy & Economics"",""university"":""King's College London"",""country or city"":""not found"",""level_of_degree"":""BSc""}]"
"CV 281";"[{""desc"":null,""title"":""History of Economic Thought""},{""desc"":""(Semi-pro)"",""title"":""Football""},{""desc"":null,""title"":""Traveling""}]";"[{""dates"":""Jan 2024 - July 2024"",""company"":""Boston Consulting Group (BCG)"",""job title"":""Strategy Intern"",""description"":""Worked on a cost-reduction program for a national utility provider, identifying €15M in potential annual savings through procurement optimization."",""country or city"":""Madrid""},{""dates"":""2023"",""company"":""Santander Corporate & Investment Banking"",""job title"":""Summer Intern"",""description"":""Supported the project finance team in the renewable energy sector."",""country or city"":""not found""}]";"[{""dates"":""2019 - 2023"",""field"":""Industrial Organization"",""university"":""Universidad Carlos III de Madrid (UC3M)"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics""}]"
"CV 280";"[{""desc"":null,""title"":""K-Pop Industry Trends""},{""desc"":null,""title"":""Digital Illustration""},{""desc"":null,""title"":""Pilates""}]";"[{""dates"":""July 2024 - Present"",""company"":""Samsung Electronics"",""job title"":""Data Analyst Intern - Samsung Electronics (Global Marketing)"",""description"":""Analyzing consumer sentiment data from social media using NLP techniques to guide product positioning for the Galaxy S series."",""country or city"":""Seoul""},{""dates"":""2023"",""company"":""CJ ENM"",""job title"":""Digital Marketing Intern"",""description"":""Managed a $50k/month social media ad budget, achieving a 20% increase in conversion rates for a new K-Drama streaming service."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Yonsei University"",""country or city"":""not found"",""level_of_degree"":""BA in Business Administration""}]"
"CV 279";"[{""desc"":null,""title"":""Rugby""},{""desc"":null,""title"":""Blockchain Research""},{""desc"":""(Tech & History)"",""title"":""Podcasts""}]";"[{""dates"":""June 2024 - Present"",""company"":""Accenture"",""job title"":""Digital Strategy Intern"",""description"":""Assisting a Tier-1 retail bank in migrating its legacy mainframe to a cloud-native architecture.\nFacilitated 10+ stakeholder workshops to define user requirements."",""country or city"":""Dublin""},{""dates"":""2023"",""company"":""PwC"",""job title"":""IT Consultant Intern"",""description"":""Conducted a cybersecurity maturity assessment for a fintech startup according to NIST framework stan-\ndards."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2024"",""field"":""not found"",""university"":""Trinity College Dublin"",""country or city"":""not found"",""level_of_degree"":""BSc in Computer Science & Business""}]"
"CV 278";"[{""desc"":null,""title"":""Contemporary Dance""},{""desc"":""(Madagascar 2022)"",""title"":""Humanitarian Volunteering""},{""desc"":null,""title"":""Oenology""}]";"[{""dates"":""Jan 2024 - June 2024"",""company"":""Deloitte, Brussels"",""job title"":""Audit Intern"",""description"":""Conducted statutory audits for 3 BEL20 companies in the chemicals sector.\n\nAnalyzed revenue recognition policies and performed internal control testing."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Degroof Petercam"",""job title"":""M&A Intern"",""description"":""Built a 3-statement financial model for a €50M sell-side mandate in the food-tech industry."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""Solvay Brussels School"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Engineering""}]"
"CV 277";"[{""desc"":""(ELO 2100)"",""title"":""Competitive Chess""},{""desc"":null,""title"":""Sailing""},{""desc"":null,""title"":""Mathematical Puzzles""}]";"[{""dates"":""July 2024 - Present"",""company"":""Optiver"",""job title"":""Quant Research Intern"",""description"":""Developing automated market-making strategies for equity options.\n\nUtilizing C++ to optimize execution speed and Python for back-testing historical data."",""country or city"":""Amsterdam""},{""dates"":""2023"",""company"":""Rabobank"",""job title"":""Risk Management Intern"",""description"":""Performed sensitivity analysis (Greeks) for the trading desk and updated the internal Value-at-Risk (VaR) model."",""country or city"":""not found""}]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Erasmus University Rotterdam"",""country or city"":""not found"",""level_of_degree"":""BSc in Econometrics & Operations Research""}]}"
"CV 276";"null";"[{""dates"":""July 2023 - Jan 2024"",""company"":""Shopify"",""job title"":""Logistics Intern"",""description"":""Optimized the fulfillment network for the \""Shop Promise\"" badge, reducing delivery times by 0.5 days on average."",""country or city"":""Ottawa""},{""dates"":""2022"",""company"":""Canadian Tire"",""job title"":""Operations Intern"",""description"":""Analyzed inventory turnover ratios to identify slow-moving stock, leading to a $200k warehouse cost saving."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""Supply Chain Management"",""university"":""University of British Columbia (UBC)"",""country or city"":""not found"",""level_of_degree"":""BCom""}]"
"CV 275";"[{""desc"":null,""title"":""Classical Ballet""},{""desc"":null,""title"":""Travel Blogging""},{""desc"":null,""title"":""Mental Health Advocacy""}]";"[{""dates"":""July 2023 - Jan 2024"",""company"":""L'Oréal"",""job title"":""HR Intern"",""description"":""Managed the campus recruitment strategy for 5 top-tier universities; screened 1,000+ candidates for the \""Brandstorm\"" competition."",""country or city"":""Moscow""},{""dates"":""2023"",""company"":""Mckinsey"",""job title"":""Diversity & Inclusion Intern"",""description"":""Assisted in drafting the \""Diversity Wins\"" regional report for Eastern Europe."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Psychology"",""university"":""Lomonosov Moscow State University"",""country or city"":""not found"",""level_of_degree"":""BA""}]"
"CV 274";"[{""desc"":null,""title"":""Bossa Nova Guitar""},{""desc"":null,""title"":""Surfing""},{""desc"":null,""title"":""Behavioral Economics""}]";"[{""dates"":""Jan 2024 - July 2024"",""company"":""Nubank"",""job title"":""Growth Intern"",""description"":""Designed and executed A/B tests for the \""Rewards\"" feature, increasing conversion rate by 18% over 3 months."",""country or city"":""São Paulo""},{""dates"":""2022"",""company"":""AB InBev"",""job title"":""Data Analyst Intern"",""description"":""Analyzed trade marketing data to optimize retail shelf space allocation using SQL and Power BI."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""FGV São Paulo"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""}]"
"CV 273";"[{""desc"":null,""title"":""Equestrian Sports""},{""desc"":null,""title"":""Nordic Geopolitics""},{""desc"":null,""title"":""Modern Art""}]";"[{""dates"":""June 2024 - Aug 2024"",""company"":""Mckinsey & Company"",""job title"":""Strategy Intern"",""description"":""Supported a growth strategy project for a MedTech startup; performed market sizing and competitive landscaping across 5 European markets."",""country or city"":""Stockholm""},{""dates"":""2023"",""company"":""Volvo Group"",""job title"":""Intern"",""description"":""Conducted a supply chain resilience audit during the post-pandemic recovery phase."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Stockholm School of Economics (SSE)"",""country or city"":""not found"",""level_of_degree"":""BSc in Business and Economics""},{""dates"":""not found"",""field"":""Exchange"",""university"":""National University of Singapore (NUS)"",""country or city"":""not found"",""level_of_degree"":""not found""}]"
"CV 272";"[{""desc"":""(RoboCup participant)"",""title"":""Robotics""},{""desc"":null,""title"":""Kendo""},{""desc"":null,""title"":""Tech Podcasts""}]";"[{""dates"":""July 2023 - Jan 2024"",""company"":""Amazon Web Services (AWS)"",""job title"":""Cloud Engineer Intern"",""description"":""Assisted in the migration of an on-premise infrastructure to AWS for a retail client, resulting in a 25% reduction in latency."",""country or city"":""Tokyo""},{""dates"":""2022"",""company"":""Rakuten"",""job title"":""Junior Developer"",""description"":""Optimized database indexing for the global marketplace, improving query speed by 40%."",""country or city"":""not found""}]";"[{""dates"":""2019 - 2023"",""field"":""Distributed Systems and Cloud Architecture"",""university"":""University of Tokyo"",""country or city"":""not found"",""level_of_degree"":""BEng in Information Science""}]"
"CV 271";"[{""desc"":""(Skipper license)"",""title"":""Sailing""},{""desc"":null,""title"":""Climate Activism""},{""desc"":null,""title"":""Photography""}]";"[{""dates"":""June 2024 - Dec 2024"",""company"":""Amundi"",""job title"":""ESG Analyst Intern"",""description"":""Conducted extra-financial analysis on 40+ European industrial stocks using MSCI ESG ratings. Developed a proprietary scoring tool for carbon footprint tracking in Scope 3 emissions."",""country or city"":""Paris""},{""dates"":""2023"",""company"":""BNP Paribas"",""job title"":""Sustainable Finance Intern"",""description"":""Assisted in the issuance of a €300M Green Bond for a renewable energy conglomerate."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Specialized in Environmental Economics"",""university"":""Université Paris-Dauphine"",""country or city"":""not found"",""level_of_degree"":""Bachelor en Économie et Gestion""}]"
"CV 270";"[{""desc"":null,""title"":""African Macro-economics""},{""desc"":null,""title"":""Long-distance Running""},{""desc"":null,""title"":""Coding Mentorship""}]";"[{""dates"":""July 2024 - Present"",""company"":""Standard Chartered Bank"",""job title"":""Risk Analyst Intern"",""description"":""Built a stress-testing framework using Monte Carlo simulations to assess portfolio vulnerability to FX volatility."",""country or city"":""Lagos""},{""dates"":""Jan 2024 - June 2024"",""company"":""KPMG"",""job title"":""Operational Risk Intern"",""description"":""Identified and mitigated control gaps in the internal audit process for 2 major Nigerian fintechs, reducing potential fraud risk by 12%."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""University of Lagos"",""country or city"":""not found"",""level_of_degree"":""BSc in Actuarial Science""}]"
"CV 269";"[]";"[{""dates"":""not found"",""company"":""Sony"",""job title"":""Software Engineer"",""description"":""not found"",""country or city"":""not found""},{""dates"":""not found"",""company"":""not found"",""job title"":""Founder"",""description"":""not found"",""country or city"":""not found""},{""dates"":""not found"",""company"":""TotalEnergies"",""job title"":""Intern"",""description"":""not found"",""country or city"":""not found""},{""dates"":""not found"",""company"":""Nubank"",""job title"":""Intern"",""description"":""not found"",""country or city"":""not found""},{""dates"":""not found"",""company"":""Adidas"",""job title"":""Intern"",""description"":""not found"",""country or city"":""not found""},{""dates"":""not found"",""company"":""Morgan Stanley"",""job title"":""Intern"",""description"":""not found"",""country or city"":""Brussels""},{""dates"":""not found"",""company"":""Loewe"",""job title"":""Intern"",""description"":""not found"",""country or city"":""not found""}]";"[]"
"CV 268";"[{""desc"":""(Best Delegate award)"",""title"":""Model United Nations""},{""desc"":null,""title"":""Contemporary History""},{""desc"":null,""title"":""Fencing""}]";"[{""dates"":""June 2024 - Present"",""company"":""OECD, Paris"",""job title"":""Policy Intern"",""description"":""Assisting the Directorate for Financial and Enterprise Affairs in drafting the 2025 Foreign Direct Investment (FDI) report."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Italian Ministry of Foreign Affairs"",""job title"":""Summer Intern"",""description"":""Supported the G7 summit coordination team in Rome."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""not found"",""level_of_degree"":""BA in International Relations & Economics""}]"
"CV 267";"[{""desc"":null,""title"":""Hurling""},{""desc"":null,""title"":""Sustainable Manufacturing Research""},{""desc"":null,""title"":""Restoration of vintage cars""}]";"[{""dates"":""Jan 2024 - July 2024"",""company"":""Tesla (Gigafactory Berlin)"",""job title"":""Operations Intern"",""description"":""Optimized the battery pack assembly line using Lean Six Sigma; reduced cycle time per unit by 18 seconds."",""country or city"":""not found""},{""dates"":""July 2023 - Dec 2023"",""company"":""Apple, Cork"",""job title"":""Supply Chain Intern"",""description"":""Managed inventory risk assessment for European retail stores during the iPhone 15 launch."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""Trinity College Dublin"",""country or city"":""not found"",""level_of_degree"":""BEng in Mechanical Engineering""}]"
"CV 266";"[{""desc"":null,""title"":""Equestrian (Jumping)""},{""desc"":null,""title"":""Haute Couture History""},{""desc"":null,""title"":""Oenology""}]";"[{""dates"":""July 2024 - Present"",""company"":""Louis Vuitton (HQ)"",""job title"":""Marketing Intern"",""description"":""Managing the 2025 Cruise Collection launch for the leather goods category.\nCoordinating with 15+ regional marketing heads."",""country or city"":""Paris""},{""dates"":""Jan 2024 - June 2024"",""company"":""Hermès"",""job title"":""Retail Operations Intern"",""description"":""Analyzed boutique traffic and VIC (Very Important Client) purchasing patterns during the Ginza store renovation."",""country or city"":""Tokyo""}]";"[{""dates"":""2021 - 2024"",""field"":""Luxury Marketing"",""university"":""HEC Paris"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Management""}]"
"CV 265";"null";"[{""dates"":""May 2024 - Aug 2024"",""company"":""Google"",""job title"":""Product Management Intern"",""description"":""Led the \""User Retention\"" initiative for Google Pay in Tier-2 Indian cities; increased monthly active users by 12% via gamification features."",""country or city"":""Bangalore""},{""dates"":""2023"",""company"":""Microsoft"",""job title"":""Software Engineering Intern"",""description"":""Developed a microservices-based API for Azure cloud monitoring using Go."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2024"",""field"":""not found"",""university"":""BITS Pilani"",""country or city"":""not found"",""level_of_degree"":""B.Tech in Computer Science""}]"
"CV 264";"[{""desc"":null,""title"":""Historical Archival Research""},{""desc"":null,""title"":""Polo""},{""desc"":null,""title"":""Classical Piano""}]";"[{""dates"":""June 2024 - Sept 2024"",""company"":""Goldman Sachs, Frankfurt"",""job title"":""M&A Summer Analyst"",""description"":""Assisted in the €2.5B cross-border acquisition of a renewable energy firm.\nBuilt comprehensive LBO and merger models."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Boston Consulting Group (BCG)"",""job title"":""Intern"",""description"":""Supported a strategic restructuring mandate for a DAX 40 industrial group."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""WU Vienna"",""country or city"":""not found"",""level_of_degree"":""BSc in Business, Economics and Social Sciences""},{""dates"":""not found"",""field"":""Exchange Semester"",""university"":""Wharton School (UPenn)"",""country or city"":""not found"",""level_of_degree"":""not found""}]"
