Personne,Variant,CV_ID,Type Erreur,Détails
Clara,25,Clara 25,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Clara,26,Clara 26,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,27,Clara 27,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,28,Clara 28,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,29,Clara 29,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Clara,30,Clara 30,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,31,Clara 31,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Clara,32,Clara 32,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,33,Clara 33,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,34,Clara 34,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,35,Clara 35,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,36,Clara 36,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,37,Clara 37,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,38,Clara 38,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,39,Clara 39,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,40,Clara 40,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,21,Hugo 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Hugo,22,Hugo 22,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,23,Hugo 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Hugo,24,Hugo 24,Omission,The 'Extraction' is missing the entire 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,25,Hugo 25,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Hugo,26,Hugo 26,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,27,Hugo 27,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,28,Hugo 28,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,29,Hugo 29,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Hugo,30,Hugo 30,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,31,Hugo 31,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,32,Hugo 32,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,33,Hugo 33,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,34,Hugo 34,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,35,Hugo 35,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,36,Hugo 36,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Hugo,37,Hugo 37,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Hugo,38,Hugo 38,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,39,Hugo 39,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Hugo,40,Hugo 40,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Louis,21,Louis 21,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,22,Louis 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,23,Louis 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,24,Louis 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,25,Louis 25,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Louis,26,Louis 26,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,27,Louis 27,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,28,Louis 28,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,29,Louis 29,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,30,Louis 30,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,31,Louis 31,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Louis,32,Louis 32,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Louis,33,Louis 33,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,34,Louis 34,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,35,Louis 35,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,36,Louis 36,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,37,Louis 37,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,38,Louis 38,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Louis,39,Louis 39,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Louis,40,Louis 40,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,21,Maxime 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,22,Maxime 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Maxime,23,Maxime 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,24,Maxime 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,25,Maxime 25,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Maxime,26,Maxime 26,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,27,Maxime 27,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Maxime,28,Maxime 28,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Maxime,29,Maxime 29,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Maxime,30,Maxime 30,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,31,Maxime 31,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Maxime,32,Maxime 32,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Maxime,34,Maxime 34,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Maxime,35,Maxime 35,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Maxime,36,Maxime 36,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Maxime,37,Maxime 37,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Maxime,38,Maxime 38,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
Maxime,40,Maxime 40,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,21,Sarah 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,22,Sarah 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,23,Sarah 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,24,Sarah 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,25,Sarah 25,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,26,Sarah 26,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Sarah,27,Sarah 27,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,28,Sarah 28,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,29,Sarah 29,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,30,Sarah 30,Omission,The 'Extraction' is missing the entire 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Sarah,31,Sarah 31,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,32,Sarah 32,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,33,Sarah 33,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Sarah,34,Sarah 34,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,35,Sarah 35,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,36,Sarah 36,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,37,Sarah 37,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,38,Sarah 38,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,39,Sarah 39,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Sarah,40,Sarah 40,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,21,Thomasg 21,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasg,22,Thomasg 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,23,Thomasg 23,Omission,The 'Extraction' variant is missing the entire 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasg,24,Thomasg 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,25,Thomasg 25,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,26,Thomasg 26,Omission,"The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' and 'country or city' for the 'List of studies' are marked as 'not found' for some entries, which is inconsistent with the 'Original'."
Thomasg,27,Thomasg 27,Omission,"The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' entirely. Additionally, some details in 'List of studies' are missing or incomplete, such as specific dates and fields."
Thomasg,28,Thomasg 28,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,29,Thomasg 29,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,30,Thomasg 30,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasg,31,Thomasg 31,Omission,"The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' and 'country or city' information is missing in the 'List of studies'."
Thomasg,32,Thomasg 32,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,33,Thomasg 33,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,34,Thomasg 34,Omission,"The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'List of studies' in the 'Extraction' lacks specific fields and locations that are present in the 'Original'."
Thomasg,35,Thomasg 35,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasg,36,Thomasg 36,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasg,37,Thomasg 37,Omission,"The Extraction is missing professional experiences and personal interests. Additionally, the Extraction has incomplete academic data, missing the 'French Baccalauréat' from Lycée Clémenceau and the location for the University of Nantes."
Thomasg,38,Thomasg 38,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasg,39,Thomasg 39,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasg,40,Thomasg 40,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Thomasl,21,Thomasl 21,Omission,"The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' and 'country or city' for the 'List of studies' are marked as 'not found', which is inconsistent with the Original."
Thomasl,22,Thomasl 22,Omission,The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections present in the Original.
Thomasl,23,Thomasl 23,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasl,24,Thomasl 24,Omission,"The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' in 'List of studies' is marked as 'not found', and the university is expanded to include 'École du Web', which is not present in the Original."
Thomasl,25,Thomasl 25,Omission,"The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' and 'country or city' in 'List of studies' are marked as 'not found', which is inconsistent with the Original data."
Thomasl,26,Thomasl 26,Omission,The 'Extraction' variant omits professional experiences and personal interests present in the 'Original' variant.
Thomasl,27,Thomasl 27,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasl,28,Thomasl 28,Omission,"The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' in 'List of studies' is marked as 'not found', and the university is expanded to include 'École du Web', which is not present in the Original."
Thomasl,29,Thomasl 29,Omission,"The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' and 'country or city' for the 'List of studies' are marked as 'not found', which is inconsistent with the Original data."
Thomasl,30,Thomasl 30,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasl,31,Thomasl 31,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasl,32,Thomasl 32,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasl,33,Thomasl 33,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasl,34,Thomasl 34,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasl,35,Thomasl 35,Omission,"The 'Extraction' variant omits professional experiences and personal interests present in the 'Original'. Additionally, the field and country or city for studies are marked as 'not found', which is inconsistent with the 'Original'."
Thomasl,36,Thomasl 36,Omission,The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections present in the Original.
Thomasl,37,Thomasl 37,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Thomasl,38,Thomasl 38,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasl,39,Thomasl 39,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Thomasl,40,Thomasl 40,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
